"Arv";"Latitude";"Longitude";"Rua";"Nº da casa";"Bairro";"Espécie";"Copa raio (m)";"Altura (m)";"Distância entre árvores (m)"
2948;578371,9654670;9116479,7686100;"Antônio Alves de Oliveira";396;"AABB";"Ficus Benjamin";1,93;5,53;4,2
2949;578361,4855730;9116453,6419500;"Antônio Alves de Oliveira";1408;"AABB";"Flamboyan";4,78;6,74;26,6
2950;578353,4728670;9116430,4662900;"Antônio Alves de Oliveira";0;"AABB";"ficus Benjamin";2,59;6,57;26,6
2951;578351,6825600;9116426,4894700;"Antônio Alves de Oliveira";0;"AABB";"Ficus Benjamin";2,22;6,57;4,2
2952;578341,3276270;9116397,2372000;"Antônio Alves de Oliveira";1372;"AABB";"Ficus Benjamin";2,02;5,36;31,5
2953;578340,2860670;9116393,7788000;"Antônio Alves de Oliveira";1372;"AABB";"Ficus Benjamin";2,65;5,19;4,9
2954;578339,3547330;9116390,3243900;"Antônio Alves de Oliveira";1372;"AABB";"Ficus Benjamin";2,19;5,19;4,2
2955;578337,8489730;9116386,6989600;"Antônio Alves de Oliveira";1372;"AABB";"Ficus Benjamin";2,41;5,19;4,2
2956;578336,7583600;9116383,1789200;"Antônio Alves de Oliveira";1372;"AABB";"Ficus Benjamin";2,20;5,19;4,2
2957;578335,3514000;9116380,0686800;"Antônio Alves de Oliveira";1372;"AABB";"Ficus Benjamin";2,25;5,19;4,9
2958;578329,6440000;9116318,4970000;"Antônio Alves de Oliveira";1314;"AABB";"Leucena";1,59;3,97;65,8
2959;578308,4402800;9116306,0550300;"Antônio Alves de Oliveira";1298;"AABB";"Ficus Benjamin";0,75;2,10;19,6
2960;578307,2140930;9116302,4376500;"Antônio Alves de Oliveira";1298;"AABB";"Brasileirinho";2,14;5,19;2,1
2961;578288,1679730;9116256,6132900;"Antônio Alves de Oliveira";1248;"AABB";"Acácia";3,60;6,92;53,2
2962;578286,9538670;9116253,3847600;"Antônio Alves de Oliveira";1248;"AABB";"Acácia";2,45;7,00;4,9
2963;578283,4370670;9116244,9324700;"Antônio Alves de Oliveira";0;"AABB";"Acácia";2,70;6,92;5,6
2964;578282,0860270;9116241,3665500;"Antônio Alves de Oliveira";0;"AABB";"Pingo de ouro";1,83;5,19;2,8
2965;578280,2692270;9116237,6251500;"Antônio Alves de Oliveira";0;"AABB";"Nim indiano";2,26;7,00;4,9
2966;578276,9913730;9116229,0730300;"Antônio Alves de Oliveira";615;"AABB";"Pingo de ouro";0,60;2,76;11,2
2967;578275,0661070;9116225,0413500;"Antônio Alves de Oliveira";615;"AABB";"Sabiß";2,38;6,00;4,9
2968;578273,3708000;9116220,6630700;"Antônio Alves de Oliveira";615;"AABB";"Tamarino";4,60;8,65;5,6
2969;578271,9354130;9116217,0617600;"Antônio Alves de Oliveira";615;"AABB";"Flamboyan";2,95;6,22;4,9
2970;578270,7986400;9116214,9533300;"Antônio Alves de Oliveira";615;"AABB";"Flamboyan";3,00;6,40;5,6
2971;578246,1633600;9116144,1739900;"Antônio Alves de Oliveira";1164;"AABB";"Ficus Benjamin";2,62;5,19;81,2
2972;578244,4330400;9116139,2136800;"Antônio Alves de Oliveira";1164;"AABB";"Ficus Benjamin";1,85;5,53;4,9
2973;578241,9356530;9116132,4709600;"Antônio Alves de Oliveira";1050;"AABB";"ficus Benjamin";2,66;5,70;5,6
2974;578222,2249200;9116072,5146400;"Antônio Alves de Oliveira";1044;"AABB";"Ficus Benjamin";4,90;6,92;81,2
2975;578213,9779330;9116048,8618400;"Antônio Alves de Oliveira";1026;"AABB";"Ficus Benjamin";1,25;3,80;27,3
2976;578212,2883470;9116044,7196400;"Antônio Alves de Oliveira";1026;"AABB";"Acácia";4,17;6,92;7,0
2977;578179,8566400;9115949,1434700;"Antônio Alves de Oliveira";890;"AABB";"Acácia";5,38;7,26;99,4
2978;578175,3165600;9115936,3617100;"Antônio Alves de Oliveira";890;"AABB";"Acácia";3,02;5,19;15,4
2979;578172,8041730;9115928,5078300;"Antônio Alves de Oliveira";890;"AABB";"Acácia";2,52;4,84;7,0
2980;578171,0820670;9115923,7690700;"Antônio Alves de Oliveira";890;"AABB";"Acácia";3,25;7,78;7,7
2981;578169,2848670;9115918,3008700;"Antônio Alves de Oliveira";890;"AABB";"Acácia";3,75;7,95;7,0
2982;578476,4552800;9116769,2464500;"Antônio Alves de Oliveira";1344;"AABB";"Nim indiano";3,10;6,30;7,0
2983;578467,8901470;9116747,7995600;"Antônio Alves de Oliveira";1829;"AABB";"Ficus Benjamin";0,04;2,59;28,7
2984;578438,9023330;9116676,2371700;"Antônio Alves de Oliveira";1778;"AABB";"Nim indiano";2,10;3,63;74,9
2985;578409,4947870;9116602,5845100;"Antônio Alves de Oliveira";1687;"AABB";"Ficus Benjamin";1,70;3,46;77,0
2986;578407,6382130;9116598,3409700;"Antônio Alves de Oliveira";1687;"AABB";"Ficus Benjamin";2,23;3,97;3,5
2987;578405,7527600;9116594,5138100;"Antônio Alves de Oliveira";1687;"AABB";"Ficus Benjamin";2,10;3,46;3,5
2988;578403,3816800;9116587,8832000;"Antônio Alves de Oliveira";1687;"AABB";"Ficus Benjamin";2,40;3,97;8,4
2989;578401,7813330;9116583,4920900;"Antônio Alves de Oliveira";1687;"AABB";"Ficus Benjamin";1,73;3,80;4,9
2990;578400,0306670;9116578,8171900;"Antônio Alves de Oliveira";1687;"AABB";"Ficus Benjamin";2,62;4,32;9,1
2991;578379,3894400;9116526,9097600;"Antônio Alves de Oliveira";1625;"AABB";"Ficus Benjamin";1,71;3,80;56,0
2992;578376,4998800;9116519,1506800;"Antônio Alves de Oliveira";1621;"AABB";"Nim indiano";4,05;5,36;9,1
2993;578374,6071870;9116513,5106800;"Antônio Alves de Oliveira";1621;"AABB";"Ficus Benjamin";2,39;4,67;7,0
2994;578367,4405200;9116496,7520800;"Antônio Alves de Oliveira";1593;"AABB";"Ficus Benjamin";2,64;4,32;30,1
2995;578266,4730470;9116230,3155400;"Antônio Alves de Oliveira";1139;"AABB";"Ficus Benjamin";2,98;5,01;230,3
2996;578264,7057600;9116226,1979600;"Antônio Alves de Oliveira";1139;"AABB";"Ficus Benjamin";2,55;5,19;3,5
2997;578250,4221200;9116187,4064400;"Antônio Alves de Oliveira";1141;"AABB";"Ficus Benjamin";4,49;5,53;56,7
2998;578154,5137600;9115907,9636000;"Antônio Alves de Oliveira";0;"AABB";"Ficus Benjamin";1,68;3,46;260,4
2999;578153,3045600;9115903,6880800;"Antônio Alves de Oliveira";0;"AABB";"Ficus Benjamin";1,77;3,97;3,5
3000;578151,5398000;9115899,7972800;"Antônio Alves de Oliveira";0;"AABB";"Ficus Benjamin";1,23;4,84;4,2
3001;577966,5079200;9115891,2750900;"Joaquim Alves de Magalhães";391;"AABB";"Ficus Benjamin";2,06;3,80;113,4
3002;577969,0312930;9115895,2150500;"Joaquim Alves de Magalhães";391;"AABB";"Ficus Benjamin";1,75;3,97;4,2
3003;578083,6900800;9116125,6916800;"Joaquim Alves de Magalhães";547;"AABB";"Ficus Benjamin";2,33;6,63;250,6
3004;578084,9079200;9116128,6731200;"Joaquim Alves de Magalhães";547;"AABB";"Ficus Benjamin";1,43;3,28;4,9
3005;578088,5883600;9116136,8794400;"Joaquim Alves de Magalhães";0;"AABB";"Ficus Benjamin";2,30;3,97;9,8
3006;578118,6817200;9116201,5292800;"Joaquim Alves de Magalhães";659;"AABB";"Ficus Benjamin";2,40;3,80;73,5
3007;578135,1308800;9116233,9237600;"Joaquim Alves de Magalhães";717;"AABB";;0,65;2,24;32,9
3008;578137,1182000;9116238,6554800;"Joaquim Alves de Magalhães";717;"AABB";"Nim indiano";3,38;5,53;8,4
3009;578139,2740000;9116243,2484800;"Joaquim Alves de Magalhães";717;"AABB";"Mororó";2,23;5,36;6,3
3010;578141,2367600;9116246,6965600;"Joaquim Alves de Magalhães";717;"AABB";"Nim indiano";4,28;5,70;4,9
3011;578145,8100400;9116256,2496800;"Joaquim Alves de Magalhães";739;"AABB";"Nim indiano";4,45;6,57;11,2
3012;578168,6284400;9116303,2865600;"Joaquim Alves de Magalhães";787;"AABB";"Ficus Benjamin";3,75;5,53;51,8
3013;578176,4592000;9116320,6972000;"Joaquim Alves de Magalhães";799;"AABB";"Nim indiano";0,10;0,85;21,0
3014;578177,9756000;9116324,4411600;"Joaquim Alves de Magalhães";799;"AABB";"Nim indiano";2,72;3,28;4,2
3015;578179,6842800;9116328,1335600;"Joaquim Alves de Magalhães";799;"AABB";"Nim indiano";2,46;3,63;4,2
3016;578186,7460800;9116343,4373200;"Joaquim Alves de Magalhães";825;"AABB";"ficus Benjamin";3,42;6,92;17,5
3017;578191,5144000;9116354,0522800;"Joaquim Alves de Magalhães";823;"AABB";"Acácia";4,22;6,74;13,3
3018;578193,0982800;9116357,5628400;"Joaquim Alves de Magalhães";823;"AABB";"Acácia";3,10;6,22;4,2
3019;578194,5935600;9116361,0921200;"Joaquim Alves de Magalhães";823;"AABB";"Acácia";2,87;5,88;4,9
3020;578201,3655600;9116376,4375200;"Joaquim Alves de Magalhães";843;"AABB";"Nim indiano";2,50;5,53;9,1
3021;578202,9695600;9116379,7028000;"Joaquim Alves de Magalhães";843;"AABB";"Nim indiano";2,93;5,19;4,9
3022;578211,5514000;9116399,1365600;"Joaquim Alves de Magalhães";965;"AABB";"Acácia";3,30;5,36;26,6
3023;578216,7737600;9116409,9039200;"Joaquim Alves de Magalhães";977;"AABB";"Ficus Benjamin";2,24;5,01;9,1
3024;578228,9568400;9116437,5790000;"Joaquim Alves de Magalhães";1001;"AABB";"Ficus Benjamin";2,15;4,49;30,1
3025;578231,4486800;9116443,0622400;"Joaquim Alves de Magalhães";827;"AABB";"Ficus Benjamin";1,08;3,46;5,6
3026;578241,8966800;9116466,4739200;"Joaquim Alves de Magalhães";927;"AABB";"Pingo de ouro";2,19;3,63;39,2
3027;578243,7141200;9116470,3192800;"Joaquim Alves de Magalhães";927;"AABB";"Pau Brasil";1,30;3,11;5,6
3028;578258,4864800;9116498,7101200;"Joaquim Alves de Magalhães";1071;"AABB";"Ficus Benjamin";2,00;3,97;32,9
3029;578283,0402800;9116547,4157600;"Joaquim Alves de Magalhães";0;"AABB";"Ficus Benjamin";0,75;3,11;55,3
3030;578284,9659600;9116551,2033200;"Joaquim Alves de Magalhães";1085;"AABB";"Ficus Benjamin";1,65;4,49;5,6
3031;578316,7905600;9116613,9605600;"Joaquim Alves de Magalhães";1153;"AABB";"Ficus Benjamin";2,22;4,15;60,9
3032;578317,9129200;9116616,6865200;"Joaquim Alves de Magalhães";1153;"AABB";"Ficus Benjamin";1,11;3,11;3,5
3033;578318,9930400;9116618,8880400;"Joaquim Alves de Magalhães";1153;"AABB";"Ficus Benjamin";1,22;3,28;2,8
3034;578322,0956400;9116624,3540000;"Joaquim Alves de Magalhães";1161;"AABB";"Ficus Benjamin";2,67;5,70;5,6
3035;578323,3742000;9116626,8805600;"Joaquim Alves de Magalhães";1161;"AABB";"Ficus Benjamin";2,22;5,53;2,8
3036;578326,3139200;9116632,9487600;"Joaquim Alves de Magalhães";1169;"AABB";"Ficus Benjamin";2,63;5,53;3,5
3037;578327,7537600;9116635,8139600;"Joaquim Alves de Magalhães";1169;"AABB";"Ficus Benjamin";2,95;5,22;3,5
3038;578329,0314000;9116638,5962000;"Joaquim Alves de Magalhães";1169;"AABB";"Ficus Benjamin";3,70;6,74;4,9
3039;578370,6174000;9116718,3850400;"Joaquim Alves de Magalhães";1281;"AABB";"Ficus Benjamin";2,59;5,19;93,1
3040;578371,5776000;9116720,6920400;"Joaquim Alves de Magalhães";1293;"AABB";"Acácia";2,60;5,53;4,2
3041;578372,5523600;9116722,4930400;"Joaquim Alves de Magalhães";1293;"AABB";"Ficus Benjamin";0,50;2,24;2,1
3042;578373,9418400;9116724,6469600;"Joaquim Alves de Magalhães";1293;"AABB";"Ficus Benjamin";1,93;5,01;3,5
3043;578377,4104400;9116731,6800400;"Joaquim Alves de Magalhães";1295;"AABB";"Ficus Benjamin";1,92;4,67;7,0
3044;578416,7827600;9116783,9400400;"Joaquim Alves de Magalhães";1312;"AABB";"Nim indiano";2,90;7,00;4,2
3045;578415,3792800;9116781,8655600;"Joaquim Alves de Magalhães";1312;"AABB";"Nim indiano";2,70;7,00;4,2
3046;578408,4773600;9116768,0730400;"Joaquim Alves de Magalhães";1250;"AABB";"Ficus Benjamin";2,73;5,19;21,7
3047;578398,0372400;9116749,0116400;"Joaquim Alves de Magalhães";0;"AABB";"Ficus Benjamin";2,06;4,84;22,4
3048;578396,4174800;9116745,6231200;"Joaquim Alves de Magalhães";0;"AABB";"Pingo de ouro";2,49;5,19;3,5
3049;578394,9534000;9116742,4819600;"Joaquim Alves de Magalhães";0;"AABB";"Ficus Benjamin";2,23;3,97;4,2
3050;578392,1246400;9116737,4766800;"Joaquim Alves de Magalhães";0;"AABB";"Mangueira";2,46;5,36;7,0
3051;578377,9243200;9116710,8582800;"Joaquim Alves de Magalhães";1178;"AABB";"Ficus Benjamin";2,86;5,01;30,8
3052;578376,7418800;9116708,9733200;"Joaquim Alves de Magalhães";1178;"AABB";"Ficus Benjamin";2,74;5,36;3,5
3053;578371,4245600;9116698,7784400;"Joaquim Alves de Magalhães";1180;"AABB";"Ficus Benjamin";1,97;3,97;11,9
3054;578368,6324800;9116692,9766800;"Joaquim Alves de Magalhães";1260;"AABB";"Nim indiano";2,64;4,32;15,4
3055;578363,5497600;9116682,7063600;"Joaquim Alves de Magalhães";1278;"AABB";"Ficus Benjamin";3,98;5,70;22,4
3056;578361,4105200;9116678,6305600;"Joaquim Alves de Magalhães";1286;"AABB";"Ficus Benjamin";2,03;5,88;7,0
3057;578360,3298000;9116676,3597600;"Joaquim Alves de Magalhães";1286;"AABB";"Ficus Benjamin";1,85;5,36;3,5
3058;578359,1525600;9116674,3078800;"Joaquim Alves de Magalhães";1286;"AABB";"Ficus Benjamin";1,64;5,36;4,2
3059;578349,7102400;9116656,3293600;"Joaquim Alves de Magalhães";0;"AABB";;3,48;7,00;13,3
3060;578335,8584400;9116628,9762000;"Joaquim Alves de Magalhães";0;"AABB";"Ficus Benjamin";1,37;6,28;32,2
3061;578300,6118310;9116560,2818000;"Joaquim Alves de Magalhães";1110;"AABB";"Ficus Benjamin";2,32;5,19;85,4
3062;578298,5140000;9116556,0104000;"Joaquim Alves de Magalhães";1106;"AABB";"Algaroba";1,00;2,59;7,7
3063;578296,5268800;9116552,0156800;"Joaquim Alves de Magalhães";285;"AABB";"ficus Benjamin";2,04;5,19;4,2
3064;578295,0944800;9116549,1476800;"Joaquim Alves de Magalhães";285;"AABB";"ficus Benjamin";2,26;5,36;4,2
3065;578293,5187330;9116546,6572100;"Joaquim Alves de Magalhães";285;"AABB";"ficus Benjamin";1,39;4,32;3,5
3066;578264,0276270;9116484,7633300;"Joaquim Alves de Magalhães";19;"AABB";"ficus Benjamin";3,15;5,36;70,7
3067;578238,1964530;9116431,5283900;"Joaquim Alves de Magalhães";900;"AABB";"Brasileirinho";0,60;2,07;56,7
3068;578236,6381870;9116427,8398500;"Joaquim Alves de Magalhães";900;"AABB";"Brasileirinho";2,12;3,80;4,2
3069;578235,2270670;9116423,6862700;"Joaquim Alves de Magalhães";900;"AABB";"Brasileirinho";1,25;3,11;4,2
3070;578233,7408000;9116420,8339200;"Joaquim Alves de Magalhães";900;"AABB";"Brasileirinho";1,31;2,59;3,5
3071;578221,3259470;9116394,0097700;"Joaquim Alves de Magalhães";976;"AABB";"Ficus Benjamin";1,75;5,19;32,2
3072;578220,0738400;9116391,1206000;"Joaquim Alves de Magalhães";976;"AABB";"Ficus Benjamin";1,97;5,19;2,8
3073;578218,5015730;9116387,8341300;"Joaquim Alves de Magalhães";976;"AABB";"Ficus Benjamin";1,25;4,84;2,1
3074;578216,8496400;9116383,5944500;"Joaquim Alves de Magalhães";976;"AABB";"Ficus Benjamin";0,50;2,20;4,2
3075;578184,6136130;9116315,1708000;"Joaquim Alves de Magalhães";475;"AABB";"Nim indiano";2,17;3,80;101,5
3076;578181,3728130;9116307,7611700;"Joaquim Alves de Magalhães";475;"AABB";"Ficus Benjamin";1,38;3,63;9,8
3077;578179,6078530;9116303,5288300;"Joaquim Alves de Magalhães";475;"AABB";"Ficus Benjamin";1,40;3,63;5,6
3078;578109,4851330;9116160,9089200;"Joaquim Alves de Magalhães";51;"AABB";"Ficus Benjamin";1,58;2,76;159,6
3079;578104,9080670;9116151,0360300;"Joaquim Alves de Magalhães";601;"AABB";"Brasileirinho";2,48;4,32;14,0
3080;578102,1502670;9116144,9759500;"Joaquim Alves de Magalhães";600;"AABB";"Ficus Benjamin";1,97;3,80;4,9
3081;578099,2712930;9116136,8497200;"Joaquim Alves de Magalhães";0;"AABB";"Algodão da praia";2,59;3,80;9,1
3082;577994,4161200;9115922,2917300;"Joaquim Alves de Magalhães";724;"AABB";"Brasileirinho";1,95;3,46;270,2
3083;577990,2283330;9115915,8131100;"Joaquim Alves de Magalhães";724;"AABB";"Ficus Benjamin";1,87;3,63;8,4
3084;577987,1522670;9115910,4922700;"Joaquim Alves de Magalhães";724;"AABB";"Ficus Benjamin";2,14;3,80;7,7
3085;577983,8293330;9115905,5594000;"Joaquim Alves de Magalhães";724;"AABB";"Ficus Benjamin";2,17;5,19;7,7
3086;577961,2901330;9115867,8893100;"Joaquim Alves de Magalhães";374;"AABB";"Nim indiano";1,15;3,46;43,4
3087;577958,0054130;9115862,6960100;"Joaquim Alves de Magalhães";374;"AABB";"Ficus Benjamin";3,09;5,36;7,0
3088;577952,5423730;9115853,3502700;"Joaquim Alves de Magalhães";374;"AABB";"Ficus Benjamin";2,53;5,01;12,6
3089;577758,3093870;9115726,3311200;"Irineu Alves Magalhães";1467;"AABB";"Brasileirinho";3,05;5,53;2,8
3090;577762,1431470;9115731,5196100;"Irineu Alves Magalhães";1461;"AABB";"Ficus Benjamin";1,78;5,36;8,4
3091;577765,9593470;9115736,2150800;"Irineu Alves Magalhães";1455;"AABB";"Ficus Benjamin";2,14;5,19;7,0
3092;577769,7700400;9115741,0466500;"Irineu Alves Magalhães";1451;"AABB";"Ficus Benjamin";2,13;5,01;7,0
3093;577773,9672140;9115746,0404000;"Irineu Alves Magalhães";1445;"AABB";"Nim indiano";2,71;5,53;9,8
3094;577776,6801740;9115749,4936700;"Irineu Alves Magalhães";1441;"AABB";"Ficus Benjamin";2,50;5,01;4,2
3095;577779,1973470;9115752,8844300;"Irineu Alves Magalhães";1437;"AABB";"Ficus Benjamin";1,88;4,32;5,6
3096;577801,4767470;9115780,8610100;"Irineu Alves Magalhães";1409;"AABB";"Nim indiano";2,05;3,46;37,8
3097;577809,5427340;9115791,3287300;"Irineu Alves Magalhães";0;"AABB";"Ficus Benjamin";1,90;3,97;16,1
3098;577813,5144540;9115796,3991900;"Irineu Alves Magalhães";0;"AABB";"Nim indiano";2,68;3,80;6,3
3099;577852,3010400;9115845,6960700;"Irineu Alves Magalhães";1381;"AABB";"Nim indiano";2,65;5,36;62,3
3100;577854,3008800;9115848,8316700;"Irineu Alves Magalhães";1381;"AABB";"Nim indiano";2,80;5,19;3,5
3101;577858,6664530;9115854,4751500;"Irineu Alves Magalhães";1365;"AABB";"Ficus Benjamin";2,16;3,80;15,4
3102;577868,4804670;9115867,3530700;"Irineu Alves Magalhães";1363;"AABB";"Ficus Benjamin";3,40;5,88;18,9
3103;577885,2557070;9115891,7115600;"Irineu Alves Magalhães";1255;"AABB";"Ficus Benjamin";0,38;1,73;23,1
3104;577887,2851730;9115893,6242100;"Irineu Alves Magalhães";1255;"AABB";"Ficus Benjamin";2,42;5,36;2,8
3105;577889,1116400;9115896,7228300;"Irineu Alves Magalhães";1255;"AABB";"Ficus Benjamin";1,55;5,19;3,5
3106;577890,6261730;9115898,9384400;"Irineu Alves Magalhães";1255;"AABB";"Ficus Benjamin";1,44;5,36;2,8
3107;577893,3392670;9115901,4848100;"Irineu Alves Magalhães";1255;"AABB";"Ficus Benjamin";0,35;1,00;4,9
3108;577896,1162270;9115905,4318800;"Irineu Alves Magalhães";116;"AABB";"Ficus Benjamin";2,76;5,19;7,0
3109;577900,1226800;9115910,8614100;"Irineu Alves Magalhães";1165;"AABB";"Ficus Benjamin";1,85;2,97;9,1
3110;577902,8204400;9115914,0664900;"Irineu Alves Magalhães";1165;"AABB";"Ficus Benjamin";2,68;5,53;4,9
3111;577907,2753200;9115920,4669500;"Irineu Alves Magalhães";1167;"AABB";"Ficus Benjamin";3,11;7,61;7,7
3112;577909,8389330;9115923,2692700;"Irineu Alves Magalhães";1167;"AABB";"Ficus Benjamin";2,20;4,61;4,9
3113;577918,0394000;9115933,0915100;"Irineu Alves Magalhães";1185;"AABB";"Ficus Benjamin";2,18;4,84;14,0
3114;577929,0936930;9115948,7328100;"Irineu Alves Magalhães";640;"AABB";"Ficus Benjamin";2,85;5,19;18,9
3115;577932,0608130;9115952,6168500;"Irineu Alves Magalhães";640;"AABB";"Ficus Benjamin";3,28;5,70;7,7
3116;577934,5634000;9115955,9466500;"Irineu Alves Magalhães";640;"AABB";"Ficus Benjamin";2,75;5,19;8,4
3117;577937,1405330;9115958,6453600;"Irineu Alves Magalhães";640;"AABB";"Ficus Benjamin";3,21;3,80;7,0
3118;577952,4094400;9115979,3158800;"Irineu Alves Magalhães";1131;"AABB";"Ficus Benjamin";1,63;1,77;17,5
3119;577956,5660270;9115986,4227600;"Irineu Alves Magalhães";1123;"AABB";"Ficus Benjamin";1,64;3,46;6,3
3120;577959,2108670;9115991,1798100;"Irineu Alves Magalhães";1119;"AABB";"Ficus Benjamin";2,14;3,80;6,3
3121;577961,3647870;9115994,8751600;"Irineu Alves Magalhães";320;"AABB";"Ficus Benjamin";2,35;3,63;6,3
3122;577963,9148400;9115999,1120300;"Irineu Alves Magalhães";320;"AABB";"Ficus Benjamin";2,90;3,46;5,6
3123;578025,0571330;9116115,1369600;"Irineu Alves Magalhães";975;"AABB";"Ficus Benjamin";3,03;4,15;133,7
3124;578026,2246530;9116117,0862400;"Irineu Alves Magalhães";975;"AABB";"Ficus Benjamin";1,68;2,28;5,6
3125;578027,9995330;9116120,3385500;"Irineu Alves Magalhães";967;"AABB";"Ficus Benjamin";2,61;3,97;5,6
3126;578035,5062000;9116136,7396700;"Irineu Alves Magalhães";965;"AABB";"Ficus Benjamin";3,17;6,05;16,8
3127;578037,3930800;9116140,0968800;"Irineu Alves Magalhães";965;"AABB";"Ficus Benjamin";3,22;5,53;4,2
3128;578038,9165870;9116143,1760000;"Irineu Alves Magalhães";965;"AABB";"Ficus Benjamin";3,10;4,84;5,6
3129;578047,1328800;9116159,1980100;"Irineu Alves Magalhães";945;"AABB";"Ficus Benjamin";3,35;5,01;12,6
3130;578048,8673870;9116162,1952800;"Irineu Alves Magalhães";945;"AABB";"Nim indiano";3,12;4,32;8,4
3131;578053,5775470;9116171,9328900;"Irineu Alves Magalhães";0;"AABB";"Acácia";3,67;6,74;11,2
3132;578081,5144270;9116221,6082300;"Irineu Alves Magalhães";871;"AABB";"Acácia";2,18;5,70;62,3
3133;578087,0995070;9116231,8868300;"Irineu Alves Magalhães";841;"AABB";"Ficus Benjamin";0,70;2,59;9,8
3134;578090,7352130;9116238,5169100;"Irineu Alves Magalhães";835;"AABB";"Ficus Benjamin";2,69;4,67;7,0
3135;578092,0538930;9116241,6032700;"Irineu Alves Magalhães";835;"AABB";"ficus Benjamin";1,52;3,63;4,9
3136;578099,5212400;9116255,2929700;"Irineu Alves Magalhães";815;"AABB";"Ficus Benjamin";1,13;3,28;10,5
3137;578100,8198930;9116258,2292800;"Irineu Alves Magalhães";815;"AABB";"Ficus Benjamin";1,54;3,46;2,8
3138;578107,0735870;9116272,1158700;"Irineu Alves Magalhães";795;"AABB";"Acácia";2,88;5,70;19,6
3139;578109,2288530;9116276,0883300;"Irineu Alves Magalhães";795;"AABB";"Acácia";3,28;5,70;5,6
3140;578111,5240000;9116253,1790000;"Irineu Alves Magalhães";0;"AABB";"Acácia";2,55;3,97;65,1
3141;578093,2466270;9116262,2854100;"Irineu Alves Magalhães";0;"AABB";"Acácia";2,18;4,67;7,7
3142;578084,5687330;9116245,8916100;"Irineu Alves Magalhães";0;"AABB";"Brasileirinho";1,09;2,76;18,9
3143;578079,2395870;9116235,8612700;"Irineu Alves Magalhães";0;"AABB";"Acácia";1,26;2,76;11,2
3144;578076,0664800;9116229,5704900;"Irineu Alves Magalhães";870;"AABB";"Nim indiano";3,75;3,80;6,3
3145;578071,5677330;9116222,5036900;"Irineu Alves Magalhães";870;"AABB";"Nim indiano";2,69;5,53;16,1
3146;578067,8916530;9116214,7862900;"Irineu Alves Magalhães";870;"AABB";"Acácia";5,25;5,53;17,5
3147;578061,6980270;9116204,2522000;"Irineu Alves Magalhães";870;"AABB";"Nim indiano";3,83;5,19;20,3
3148;578044,1470530;9116171,1988400;"Irineu Alves Magalhães";950;"AABB";"Nim indiano";3,00;4,15;18,2
3149;578031,5523870;9116147,1941200;"Irineu Alves Magalhães";850;"AABB";"Nim indiano";3,10;4,84;34,3
3150;578028,6957330;9116141,7696900;"Irineu Alves Magalhães";850;"AABB";"Nim indiano";2,27;3,80;7,7
3151;578019,1790670;9116124,2108100;"Irineu Alves Magalhães";970;"AABB";"Nim indiano";3,90;5,36;5,6
3152;578013,9322400;9116114,5169300;"Irineu Alves Magalhães";980;"AABB";"Nim indiano";3,81;5,19;10,5
3153;577986,2242530;9116062,4064500;"Irineu Alves Magalhães";0;"AABB";"Acácia";3,30;5,36;58,1
3154;577976,1175870;9116044,1612000;"Irineu Alves Magalhães";311;"AABB";"Acácia";4,72;7,09;37,1
3155;577951,6134000;9115998,9348400;"Irineu Alves Magalhães";1029;"AABB";"Acácia";4,50;6,05;31,5
3156;577932,4937600;9115969,2424100;"Irineu Alves Magalhães";614;"AABB";"Ficus Benjamin";0,83;2,07;60,9
3157;577917,1859870;9115949,3801200;"Irineu Alves Magalhães";1160;"AABB";"Nim indiano";2,08;3,97;7,0
3158;577912,4616530;9115942,6645700;"Irineu Alves Magalhães";1166;"AABB";"Olho de pombo";0,65;2,20;7,7
3159;577909,4077330;9115938,7738100;"Irineu Alves Magalhães";0;"AABB";"Brasileirinho";2,28;3,97;4,9
3160;577821,8836110;9115829,2852300;"Irineu Alves Magalhães";1058;"AABB";"Nim indiano";3,38;4,84;133,0
3161;577820,3737600;9115827,1267200;"Irineu Alves Magalhães";1058;"AABB";"Nim indiano";3,15;4,84;2,8
3162;577798,4981600;9115799,2711200;"Irineu Alves Magalhães";0;"AABB";"Nim indiano";0,40;1,20;37,8
3163;577796,7990000;9115797,5743600;"Irineu Alves Magalhães";0;"AABB";"Nim indiano";0,65;2,00;0,7
3164;577789,5316000;9115787,8678800;"Irineu Alves Magalhães";0;"AABB";"Nim indiano";0,53;3,11;10,5
3165;578430,0514000;9117471,4814600;"Isidoro Conrado";"391";"Nossa Senhora da Conceição";"Nim indiano";1,65;3,20;111,5
3166;578398,5416920;9117449,0615700;"Isidoro Conrado";"2065";"Nossa Senhora da Conceição";"Ficus benjamim";2,80;5,20;83,5
3167;578342,9230770;9117412,5099500;"Isidoro Conrado";"2005";"Nossa Senhora da Conceição";"Nim indiano";1,83;3,71;93,6
3168;578170,3180460;9117290,0866300;"Isidoro Conrado";"1803";"Nossa Senhora da Conceição";"Ficus benjamim";1,90;3,50;202,8
3169;578166,6209540;9117287,7533100;"Isidoro Conrado";"1803";"Nossa Senhora da Conceição";"Ficus benjamim";1,20;3,30;4,7
3170;578108,7490000;9117247,6327800;"Isidoro Conrado";"1735";"Nossa Senhora da Conceição";"Nim indiano";1,95;3,80;87,4
